State,Ages_Under,Total Cases_Under,Violent Crime_Under,Property Crime_Under,Murder and Non-Negligent Manslaughter_Under,Rape_Under,Robbery_Under,Aggravated Assault_Under,Burglary_Under,DUI_Under,Liqour Laws_Under,Drunkenness_Under,Disorderly Conduct_Under,Vagrancy_Under,"All Other Offenses, Non Traffic_Under",Suspicion_Under,Curfew and Loitering_Under,Total Number of Police Agencies_Under,2016 Estimated Population_Under,Ages_All,Total Cases_All,Violent Crime_All,Property Crime_All,Murder and Non-Negligent Manslaughter_All,Rape_All,Robbery_All,Aggravated Assault_All,Burglary_All,DUI_All,Liqour Laws_All,Drunkenness_All,Disorderly Conduct_All,Vagrancy_All,"All Other Offenses, Non Traffic_All",Suspicion_All,Curfew and Loitering_All,Total Number of Police Agencies_All,2016 Estimated Population_All
ALABAMA  ,Under 18,4800,321,1229,15,32,109,165,318,28,225,31,378,2,1096,0,0,240.0,3800629.0,Total all ages,154482,6187,18479,312,384,1177,4314,3004,8126,2496,7283,2129,67,69052,0,0,,
ALASKA,Under 18,1893,216,494,8,21,35,152,104,31,121,18,11,0,269,0,12,32.0,738566.0,Total all ages,29462,2298,3495,41,130,282,1845,538,3063,775,112,738,4,11340,0,12,,
ARIZONA,Under 18,22997,1020,5113,15,53,336,616,759,211,1668,84,1436,65,2924,0,1061,90.0,6391343.0,Total all ages,263699,11145,37592,242,344,1849,8710,3957,23498,9745,14100,15874,351,71741,130,1061,,
ARKANSAS,Under 18,8045,424,1801,10,44,91,279,414,44,219,87,470,0,1765,0,363,271.0,2786173.0,Total all ages,132165,4860,13791,143,289,561,3867,2174,6703,1769,6589,2425,890,60504,0,363,,
CALIFORNIA ,Under 18,58758,7015,12519,92,275,2601,4047,4583,493,1210,880,1264,101,9645,0,1454,613.0,39012007.0,Total all ages,1118712,106828,115354,1437,2560,15866,86965,40808,129752,8857,69869,3906,6597,285231,0,1454,,
COLORADO,Under 18,21548,636,4753,6,52,126,452,432,217,1389,47,1727,0,6099,0,1153,193.0,5008754.0,Total all ages,225710,6691,29879,150,414,941,5186,2571,23364,9025,249,7486,453,100277,0,1153,,
CONNECTICUT,Under 18,8264,416,1902,5,28,161,222,261,41,49,0,1485,0,978,0,4,104.0,3526707.0,Total all ages,100280,3741,14845,62,222,1016,2441,1935,8533,225,8,11640,36,26714,0,4,,
DELAWARE,Under 18,3704,348,712,5,12,119,212,137,0,84,1,287,0,345,0,47,56.0,950787.0,Total all ages,33553,2224,7165,29,58,526,1611,1053,355,884,345,1312,332,5558,0,47,,
DISTRICT OF COLUMBIA,Under 18,671,83,47,0,0,58,25,0,0,0,0,39,0,338,0,1,2.0,0.0,Total all ages,10271,161,132,1,2,94,64,0,11,1024,89,172,30,7798,0,1,,
FLORIDA ,Under 18,57843,3861,17688,45,248,1541,2027,4817,109,496,0,0,0,18548,0,0,668.0,20566240.0,Total all ages,726396,35807,102639,642,1747,6521,26897,18037,35042,14280,0,0,0,313994,0,0,,
GEORGIA,Under 18,22646,1282,5599,60,42,514,666,1043,89,326,20,2184,99,4380,0,330,402.0,8150300.0,Total all ages,238684,11105,32573,403,274,2018,8410,4506,18939,4262,1442,14886,1574,69708,0,330,,
HAWAII,Under 18,3597,175,688,1,23,72,79,85,23,92,4,95,3,1201,7,172,4.0,1428557.0,Total all ages,42301,1341,4426,35,154,294,858,636,5929,575,4,1074,3,19671,7,172,,
IDAHO,Under 18,5298,117,1028,0,23,8,86,163,61,324,30,237,0,1557,0,57,101.0,1324720.0,Total all ages,46962,1279,4955,23,99,79,1078,808,6195,1324,254,1458,10,16472,0,57,,
ILLINOIS,Under 18,10186,1003,2964,45,35,665,258,301,7,32,0,877,0,1154,0,79,2.0,2872516.0,Total all ages,67983,4030,12623,287,276,1631,1836,992,2929,165,0,3756,4,11165,0,79,,
INDIANA,Under 18,12420,758,3074,12,19,298,429,317,61,745,38,697,33,2374,8,218,204.0,4305899.0,Total all ages,143554,7323,19954,160,193,1325,5645,2208,13492,3665,4316,3517,81,50656,19,218,,
IOWA,Under 18,10671,558,2556,3,34,110,411,391,71,689,99,1211,0,1519,0,404,206.0,2810823.0,Total all ages,95962,4876,13033,55,154,396,4271,1585,9836,3943,6983,4104,9,29178,0,404,,
KANSAS,Under 18,4081,170,910,6,25,33,106,84,58,408,0,204,0,619,0,0,228.0,1732223.0,Total all ages,53823,1948,4899,50,126,205,1567,579,5923,2593,134,1558,0,17857,0,0,,
KENTUCKY,Under 18,5639,402,1466,17,32,223,130,340,66,26,57,230,0,1028,0,3,419.0,4424357.0,Total all ages,210586,3487,18219,185,236,1122,1944,2994,16901,94,14259,4095,137,106159,0,3,,
LOUISIANA,Under 18,19018,1328,4669,28,112,333,855,1211,32,233,25,2537,51,3584,9,299,168.0,4183659.0,Total all ages,191920,11372,32355,339,499,1646,8888,5422,7587,3596,3567,10435,250,56154,33,299,,
MAINE,Under 18,3160,45,814,1,13,7,24,136,28,459,4,105,0,561,0,8,195.0,1328762.0,Total all ages,43473,774,5668,16,61,139,558,681,5834,2218,17,1309,0,14943,0,8,,
MARYLAND,Under 18,19506,1935,4862,11,74,1067,783,932,60,512,8,873,23,2522,30,47,143.0,5197665.0,Total all ages,182631,9737,25715,270,403,3223,5841,4777,17809,5398,14,4639,139,55773,131,47,,
MASSACHUSETTS,Under 18,6939,849,1285,6,28,185,630,213,46,291,38,394,0,1464,0,0,342.0,6436240.0,Total all ages,119180,9656,14973,58,303,1263,8032,2135,9008,2000,5600,4329,11,35706,2,0,,
MICHIGAN,Under 18,17629,1160,4802,14,117,276,753,715,194,1371,4,666,0,2723,0,325,606.0,9696514.0,Total all ages,255900,12163,26295,166,760,1467,9770,3284,27571,10690,367,6536,241,87235,0,325,,
MINNESOTA,Under 18,19648,900,4993,6,101,359,434,426,144,1795,0,2039,2,3280,0,947,365.0,5237709.0,Total all ages,135455,5404,25116,103,565,1155,3581,2109,19196,8054,1,8679,38,27297,0,947,,
MISSISSIPPI,Under 18,3812,131,817,6,8,87,30,191,66,29,23,511,15,709,4,90,63.0,1383530.0,Total all ages,76489,1588,8209,117,84,450,937,1309,7160,983,3721,3790,41,26836,75,90,,
MISSOURI,Under 18,19416,966,4265,18,101,339,508,493,182,877,16,1325,6,3333,0,815,375.0,5768437.0,Total all ages,240878,10223,34373,339,516,1926,7442,4153,19729,5280,330,8158,1222,75970,0,815,,
MONTANA,Under 18,4263,78,859,0,9,8,61,83,42,454,0,467,0,619,0,300,100.0,1036405.0,Total all ages,30550,1114,4883,14,48,69,983,326,4392,1871,0,2878,21,6262,0,300,,
NEBRASKA,Under 18,8921,168,2377,5,59,54,50,102,109,682,0,427,0,1311,0,144,153.0,1721852.0,Total all ages,68310,1912,10124,40,259,296,1317,582,6948,4862,0,2714,16,13951,0,144,,
NEVADA,Under 18,8441,1047,1408,5,52,372,618,264,58,521,6,167,8,1682,5,472,51.0,2940058.0,Total all ages,125932,8351,10450,166,257,1905,6023,2519,10660,3383,214,1292,1512,49669,5,472,,
NEW HAMPSHIRE,Under 18,3564,78,404,0,12,24,42,33,42,389,233,99,0,774,0,13,174.0,1275170.0,Total all ages,47282,874,3975,5,58,179,632,336,4874,2907,3683,954,65,12993,0,13,,
NEW JERSEY,Under 18,17784,1409,2794,13,69,637,690,615,129,778,0,1413,11,2574,0,1396,494.0,8747889.0,Total all ages,294972,10001,26736,198,396,3000,6407,4334,22745,3044,0,12723,274,108599,0,1396,,
NEW MEXICO,Under 18,4254,248,1070,9,8,20,211,79,62,163,19,178,0,986,1,4,57.0,1498550.0,Total all ages,77509,4007,10421,66,118,360,3463,918,6178,1977,445,1602,247,31924,8,4,,
NEW YORK,Under 18,20322,1692,5312,16,193,693,790,851,113,201,0,592,10,2745,0,0,544.0,10621114.0,Total all ages,271780,13238,49196,255,1091,3280,8612,5780,29238,1599,0,6355,565,44267,0,0,,
NORTH CAROLINA,Under 18,16027,923,4413,26,14,504,379,1189,201,457,0,1305,0,2447,0,15,235.0,6270620.0,Total all ages,231449,11607,36802,497,273,2610,8227,7909,30380,2286,0,4497,12,69279,0,15,,
NORTH DAKOTA,Under 18,3788,53,626,0,4,6,43,31,26,469,0,662,0,617,0,108,106.0,753138.0,Total all ages,34817,743,3563,14,45,76,608,281,5725,2922,309,2202,6,9234,1,108,,
OHIO,Under 18,22552,732,4174,12,88,307,325,696,84,672,28,1811,4,6010,5,537,461.0,8954617.0,Total all ages,213801,6683,33524,189,481,1847,4166,3851,15060,5973,1886,14608,99,57640,5,537,,
OKLAHOMA,Under 18,9236,449,2272,17,30,118,284,356,107,105,293,505,2,1267,0,1069,336.0,3744169.0,Total all ages,112401,4653,15856,183,207,649,3614,2056,12200,1433,13507,1996,34,21466,9,1069,,
OREGON,Under 18,10407,307,2198,3,25,72,207,234,108,916,0,509,0,1600,0,512,185.0,3707053.0,Total all ages,131085,3715,19456,66,146,767,2736,1618,14282,4844,0,6555,4,48115,0,512,,
PENNSYLVANIA,Under 18,40826,2678,5563,22,202,1045,1409,868,365,2134,170,7352,26,3371,0,7278,1183.0,11822238.0,Total all ages,350797,18416,50837,377,1003,4820,12216,6158,44111,9179,19475,33487,254,44142,0,7278,,
RHODE ISLAND,Under 18,2489,109,494,0,17,38,54,92,11,48,1,452,0,408,0,12,48.0,1056426.0,Total all ages,27494,896,2881,18,85,143,650,592,2719,486,10,2239,0,9607,0,12,,
SOUTH CAROLINA,Under 18,12987,682,3308,35,63,258,326,614,90,286,71,1447,0,1649,0,31,434.0,4794988.0,Total all ages,158298,6929,24138,293,411,1200,5025,3385,15947,5014,6956,8738,425,29522,0,31,,
SOUTH DAKOTA,Under 18,5016,106,1000,0,3,11,92,103,77,569,14,330,0,786,0,120,107.0,789651.0,Total all ages,47214,1291,3554,23,44,57,1167,352,7196,2596,2538,2454,436,12126,3,120,,
TENNESSEE,Under 18,22110,1401,4060,21,42,364,974,815,143,586,141,1912,0,4080,0,1235,455.0,6454266.0,Total all ages,339280,16142,37897,301,291,1936,13614,5322,22563,4278,14029,7079,25,139365,0,1235,,
TEXAS,Under 18,65539,3938,14953,62,375,1422,2079,2590,421,1596,1104,1836,61,12532,0,2479,973.0,27089093.0,Total all ages,820979,31989,95012,889,2311,7056,21733,12201,67950,10928,71819,10520,2194,247675,0,2479,,
UTAH,Under 18,13187,268,2740,2,75,51,140,165,196,675,80,807,27,3538,2,467,109.0,2801231.0,Total all ages,102988,2252,16044,50,258,413,1531,935,8713,3860,2909,2809,40,33791,5,467,,
VERMONT,Under 18,425,13,60,0,4,0,9,13,8,23,1,67,0,64,0,0,46.0,348314.0,Total all ages,8062,314,1049,4,28,23,259,154,1474,60,1,509,0,2632,0,0,,
VIRGINIA,Under 18,16838,735,3907,20,69,385,261,504,97,620,112,490,0,3667,0,767,404.0,8266632.0,Total all ages,271921,7410,30793,351,480,1755,4824,2928,20084,5223,20125,2965,157,92341,0,767,,
WASHINGTON,Under 18,12184,782,3151,15,79,295,393,442,121,776,3,178,0,1775,0,3,223.0,6483494.0,Total all ages,171211,7778,30229,107,491,1665,5515,4847,23209,2487,22,2415,81,56261,0,3,,
WEST VIRGINIA,Under 18,1050,48,152,2,5,6,35,24,11,52,3,27,0,303,0,7,291.0,1251283.0,Total all ages,39742,1905,5826,41,101,157,1606,771,4427,591,673,608,31,12114,0,7,,
WISCONSIN,Under 18,41813,1111,6135,7,149,434,521,655,235,2266,0,7876,61,12221,0,2138,409.0,5643675.0,Total all ages,261400,7556,31446,244,781,1570,4961,2771,24795,12675,0,33316,825,84335,0,2138,,
WYOMING,Under 18,3332,22,558,0,2,3,17,46,26,461,12,124,12,764,3,156,53.0,549770.0,Total all ages,28213,500,2577,13,33,19,435,232,3056,1929,2219,825,30,8928,7,156,,
