State,Ages,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2016
estimated 
population"
ALABAMA  ,Under 18,4800,321,1229,15,32,109,165,318,833,72,6,777,20,24,1,121,190,93,0,29,191,0,44,28,225,31,378,2,1096,0,0,240,3800629
ALABAMA  ,Total all ages,154482,6187,18479,312,384,1177,4314,3004,14495,880,100,18151,1382,3774,190,2020,1583,1681,1,706,10193,0,982,8126,2496,7283,2129,67,69052,0,0,,
ALASKA,Under 18,1893,216,494,8,21,35,152,104,300,62,28,297,1,10,8,5,135,24,0,33,207,0,1,31,121,18,11,0,269,0,12,32,738566
ALASKA,Total all ages,29462,2298,3495,41,130,282,1845,538,2401,505,51,4300,96,236,81,82,1024,311,13,281,1006,0,195,3063,775,112,738,4,11340,0,12,,
ARIZONA,Under 18,22997,1020,5113,15,53,336,616,759,3968,341,45,3667,13,80,19,126,1761,221,2,259,3090,0,177,211,1668,84,1436,65,2924,0,1061,90,6391343
ARIZONA,Total all ages,263699,11145,37592,242,344,1849,8710,3957,31907,1551,177,26150,1098,2005,352,1341,10031,2878,387,1388,30309,3,2520,23498,9745,14100,15874,351,71741,130,1061,,
ARKANSAS,Under 18,8045,424,1801,10,44,91,279,414,1308,74,5,1433,8,31,1,163,298,123,0,35,770,0,10,44,219,87,470,0,1765,0,363,271,2786173
ARKANSAS,Total all ages,132165,4860,13791,143,289,561,3867,2174,11084,488,45,11849,813,1114,64,1437,1460,1040,277,119,15736,8,354,6703,1769,6589,2425,890,60504,0,363,,
CALIFORNIA ,Under 18,58758,7015,12519,92,275,2601,4047,4583,6169,1508,259,8977,62,180,15,982,3050,3379,112,1123,6291,3,3,493,1210,880,1264,101,9645,0,1454,613,39012007
CALIFORNIA ,Total all ages,1118712,106828,115354,1437,2560,15866,86965,40808,54720,18521,1305,80835,5000,6324,955,16500,17202,27707,7601,9222,219016,266,236,129752,8857,69869,3906,6597,285231,0,1454,,
COLORADO,Under 18,21548,636,4753,6,52,126,452,432,3794,450,77,1697,6,63,7,32,833,294,1,102,2440,0,52,217,1389,47,1727,0,6099,0,1153,193,5008754
COLORADO,Total all ages,225710,6691,29879,150,414,941,5186,2571,24495,2585,228,17079,679,2512,101,456,5354,2363,510,437,14790,3,2849,23364,9025,249,7486,453,100277,0,1153,,
CONNECTICUT,Under 18,8264,416,1902,5,28,161,222,261,1330,275,36,1974,13,35,5,54,432,178,1,71,581,0,45,41,49,0,1485,0,978,0,4,104,3526707
CONNECTICUT,Total all ages,100280,3741,14845,62,222,1016,2441,1935,11971,842,97,17935,553,893,161,366,2063,1185,212,348,9349,19,1450,8533,225,8,11640,36,26714,0,4,,
DELAWARE,Under 18,3704,348,712,5,12,119,212,137,537,34,4,1008,3,70,2,119,207,98,0,33,340,0,0,0,84,1,287,0,345,0,47,56,950787
DELAWARE,Total all ages,33553,2224,7165,29,58,526,1611,1053,5964,122,26,6630,290,1769,198,468,886,388,89,128,4289,1,195,355,884,345,1312,332,5558,0,47,,
DISTRICT OF COLUMBIA5,Under 18,671,83,47,0,0,58,25,0,44,3,0,75,0,0,0,14,20,35,0,0,19,0,0,0,0,0,39,0,338,0,1,2,0
DISTRICT OF COLUMBIA5,Total all ages,10271,161,132,1,2,94,64,0,122,10,0,360,1,9,0,22,43,83,0,5,328,0,2,11,1024,89,172,30,7798,0,1,,
"FLORIDA6, 7",Under 18,57843,3861,17688,45,248,1541,2027,4817,10005,2810,56,8670,45,388,26,157,1166,801,7,293,5584,4,0,109,496,0,0,0,18548,0,0,668,20566240
"FLORIDA6, 7",Total all ages,726396,35807,102639,642,1747,6521,26897,18037,76139,8211,252,76450,2247,11954,1041,1774,6192,5152,2397,2728,114550,149,0,35042,14280,0,0,0,313994,0,0,,
GEORGIA,Under 18,22646,1282,5599,60,42,514,666,1043,4145,382,29,3636,65,112,8,373,620,551,12,418,2402,7,133,89,326,20,2184,99,4380,0,330,402,8150300
GEORGIA,Total all ages,238684,11105,32573,403,274,2018,8410,4506,26601,1328,138,22486,2379,3323,223,2819,3643,3141,455,2783,39593,76,2944,18939,4262,1442,14886,1574,69708,0,330,,
HAWAII,Under 18,3597,175,688,1,23,72,79,85,545,50,8,470,2,8,0,21,121,15,3,42,454,0,1,23,92,4,95,3,1201,7,172,4,1428557
HAWAII,Total all ages,42301,1341,4426,35,154,294,858,636,3365,389,36,4621,140,265,32,130,570,297,159,218,2574,76,17,5929,575,4,1074,3,19671,7,172,,
IDAHO,Under 18,5298,117,1028,0,23,8,86,163,788,57,20,668,1,33,1,30,247,77,0,60,730,0,40,61,324,30,237,0,1557,0,57,101,1324720
IDAHO,Total all ages,46962,1279,4955,23,99,79,1078,808,3909,196,42,4270,111,252,40,243,761,306,11,209,8031,0,724,6195,1324,254,1458,10,16472,0,57,,
ILLINOIS6,Under 18,10186,1003,2964,45,35,665,258,301,1161,1489,13,1576,9,4,0,39,294,738,0,17,1343,44,6,7,32,0,877,0,1154,0,79,2,2872516
ILLINOIS6,Total all ages,67983,4030,12623,287,276,1631,1836,992,8060,3505,66,13371,128,183,0,87,2072,3234,187,302,12958,456,254,2929,165,0,3756,4,11165,0,79,,
INDIANA,Under 18,12420,758,3074,12,19,298,429,317,2400,316,41,2161,18,68,3,83,447,255,2,105,1100,1,171,61,745,38,697,33,2374,8,218,204,4305899
INDIANA,Total all ages,143554,7323,19954,160,193,1325,5645,2208,16014,1625,107,12547,1351,1670,204,547,1419,2386,309,776,18041,21,1042,13492,3665,4316,3517,81,50656,19,218,,
IOWA,Under 18,10671,558,2556,3,34,110,411,391,1978,152,35,1560,21,39,8,47,766,120,1,64,935,0,3,71,689,99,1211,0,1519,0,404,206,2810823
IOWA,Total all ages,95962,4876,13033,55,154,396,4271,1585,10839,525,84,7790,584,752,79,177,2283,844,104,186,9550,5,1242,9836,3943,6983,4104,9,29178,0,404,,
KANSAS,Under 18,4081,170,910,6,25,33,106,84,738,69,19,643,5,10,8,47,226,54,1,42,668,0,8,58,408,0,204,0,619,0,0,228,1732223
KANSAS,Total all ages,53823,1948,4899,50,126,205,1567,579,3907,363,50,7741,189,403,107,577,1458,541,56,138,7519,0,182,5923,2593,134,1558,0,17857,0,0,,
KENTUCKY,Under 18,5639,402,1466,17,32,223,130,340,853,263,10,1039,20,13,7,464,184,95,0,33,501,0,5,66,26,57,230,0,1028,0,3,419,4424357
KENTUCKY,Total all ages,210586,3487,18219,185,236,1122,1944,2994,14286,886,53,11703,1021,1003,441,2628,1132,891,252,297,23308,9,4547,16901,94,14259,4095,137,106159,0,3,,
LOUISIANA,Under 18,19018,1328,4669,28,112,333,855,1211,3085,353,20,3061,10,38,4,372,600,452,11,172,1475,14,42,32,233,25,2537,51,3584,9,299,168,4183659
LOUISIANA,Total all ages,191920,11372,32355,339,499,1646,8888,5422,25436,1388,109,23075,731,1473,172,2283,3739,3777,521,1355,27529,79,1538,7587,3596,3567,10435,250,56154,33,299,,
MAINE,Under 18,3160,45,814,1,13,7,24,136,604,57,17,442,10,11,2,11,232,14,1,30,383,0,0,28,459,4,105,0,561,0,8,195,1328762
MAINE,Total all ages,43473,774,5668,16,61,139,558,681,4704,206,77,4719,229,552,66,90,1052,149,105,187,5430,1,122,5834,2218,17,1309,0,14943,0,8,,
MARYLAND,Under 18,19506,1935,4862,11,74,1067,783,932,3169,620,141,4630,26,42,1,22,929,636,8,144,2167,19,10,60,512,8,873,23,2522,30,47,143,5197665
MARYLAND,Total all ages,182631,9737,25715,270,403,3223,5841,4777,19083,1502,353,21522,582,896,115,144,2721,3181,584,687,30692,133,1972,17809,5398,14,4639,139,55773,131,47,,
MASSACHUSETTS,Under 18,6939,849,1285,6,28,185,630,213,928,111,33,1485,20,29,3,153,415,158,1,47,228,0,33,46,291,38,394,0,1464,0,0,342,6436240
MASSACHUSETTS,Total all ages,119180,9656,14973,58,303,1263,8032,2135,12140,618,80,19027,469,1263,136,1084,2692,1238,553,418,9770,14,1231,9008,2000,5600,4329,11,35706,2,0,,
MICHIGAN,Under 18,17629,1160,4802,14,117,276,753,715,3695,325,67,2601,32,208,30,249,548,348,4,150,2207,3,4,194,1371,4,666,0,2723,0,325,606,9696514
MICHIGAN,Total all ages,255900,12163,26295,166,760,1467,9770,3284,21366,1412,233,27475,652,3909,1009,1645,2828,4128,528,687,38780,37,2799,27571,10690,367,6536,241,87235,0,325,,
MINNESOTA,Under 18,19648,900,4993,6,101,359,434,426,4221,316,30,2120,17,147,8,285,895,392,2,147,1525,0,10,144,1795,0,2039,2,3280,0,947,365,5237709
MINNESOTA,Total all ages,135455,5404,25116,103,565,1155,3581,2109,21652,1264,91,13688,985,2187,29,1684,3057,1786,344,1047,15397,12,507,19196,8054,1,8679,38,27297,0,947,,
MISSISSIPPI,Under 18,3812,131,817,6,8,87,30,191,594,26,6,559,0,21,1,44,109,131,2,13,273,1,263,66,29,23,511,15,709,4,90,63,1383530
MISSISSIPPI,Total all ages,76489,1588,8209,117,84,450,937,1309,6505,342,53,6680,378,980,395,670,751,1016,38,204,10414,63,2407,7160,983,3721,3790,41,26836,75,90,,
MISSOURI,Under 18,19416,966,4265,18,101,339,508,493,3439,270,63,3253,21,98,18,370,816,294,7,254,2452,3,45,182,877,16,1325,6,3333,0,815,375,5768437
MISSOURI,Total all ages,240878,10223,34373,339,516,1926,7442,4153,27668,2344,208,23578,1351,2454,369,3195,4076,3706,415,1289,41674,75,2596,19729,5280,330,8158,1222,75970,0,815,,
MONTANA,Under 18,4263,78,859,0,9,8,61,83,704,56,16,504,2,12,2,4,245,6,0,38,360,0,271,42,454,0,467,0,619,0,300,100,1036405
MONTANA,Total all ages,30550,1114,4883,14,48,69,983,326,4229,293,35,4092,112,258,32,62,952,112,3,126,2638,0,442,4392,1871,0,2878,21,6262,0,300,,
NEBRASKA,Under 18,8921,168,2377,5,59,54,50,102,2133,115,27,1351,7,77,15,80,654,93,0,95,1304,0,27,109,682,0,427,0,1311,0,144,153,1721852
NEBRASKA,Total all ages,68310,1912,10124,40,259,296,1317,582,9070,416,56,8242,274,1374,98,619,2210,1103,131,453,11878,0,1257,6948,4862,0,2714,16,13951,0,144,,
NEVADA,Under 18,8441,1047,1408,5,52,372,618,264,995,137,12,1444,10,37,3,144,282,167,70,42,837,2,29,58,521,6,167,8,1682,5,472,51,2940058
NEVADA,Total all ages,125932,8351,10450,166,257,1905,6023,2519,6978,900,53,14022,605,1635,331,1584,1482,1893,2892,714,13770,33,963,10660,3383,214,1292,1512,49669,5,472,,
NEW HAMPSHIRE,Under 18,3564,78,404,0,12,24,42,33,343,15,13,568,4,18,3,43,223,1,0,26,637,1,8,42,389,233,99,0,774,0,13,174,1275170
NEW HAMPSHIRE,Total all ages,47282,874,3975,5,58,179,632,336,3499,114,26,5115,236,843,122,547,1178,171,91,128,8346,7,160,4874,2907,3683,954,65,12993,0,13,,
NEW JERSEY,Under 18,17784,1409,2794,13,69,637,690,615,2029,88,62,1633,40,64,10,415,693,667,9,107,3574,31,37,129,778,0,1413,11,2574,0,1396,494,8747889
NEW JERSEY,Total all ages,294972,10001,26736,198,396,3000,6407,4334,21723,499,180,22348,1047,3896,320,2693,3858,4054,849,963,61579,421,7426,22745,3044,0,12723,274,108599,0,1396,,
NEW MEXICO,Under 18,4254,248,1070,9,8,20,211,79,813,54,124,681,2,15,7,55,154,66,1,16,512,0,14,62,163,19,178,0,986,1,4,57,1498550
NEW MEXICO,Total all ages,77509,4007,10421,66,118,360,3463,918,8419,447,637,8482,237,631,214,1449,1214,576,36,83,6924,0,850,6178,1977,445,1602,247,31924,8,4,,
NEW YORK6,Under 18,20322,1692,5312,16,193,693,790,851,3998,392,71,2767,102,159,1,485,2075,395,16,296,3331,1,29,113,201,0,592,10,2745,0,0,544,10621114
NEW YORK6,Total all ages,271780,13238,49196,255,1091,3280,8612,5780,41354,1820,242,29532,2801,4419,62,3441,14798,3624,627,1970,65379,74,595,29238,1599,0,6355,565,44267,0,0,,
NORTH CAROLINA,Under 18,16027,923,4413,26,14,504,379,1189,3003,178,43,3195,24,171,30,343,570,592,7,73,1227,0,34,201,457,0,1305,0,2447,0,15,235,6270620
NORTH CAROLINA,Total all ages,231449,11607,36802,497,273,2610,8227,7909,27736,969,188,32067,1167,7337,983,2836,3989,4485,182,823,18247,43,4412,30380,2286,0,4497,12,69279,0,15,,
NORTH DAKOTA,Under 18,3788,53,626,0,4,6,43,31,540,48,7,391,3,7,8,44,156,22,0,25,442,0,129,26,469,0,662,0,617,0,108,106,753138
NORTH DAKOTA,Total all ages,34817,743,3563,14,45,76,608,281,2894,234,154,2789,124,351,59,320,506,340,20,89,5093,0,313,5725,2922,309,2202,6,9234,1,108,,
OHIO,Under 18,22552,732,4174,12,88,307,325,696,3241,172,65,4295,30,134,0,521,1034,318,10,157,1811,1,184,84,672,28,1811,4,6010,5,537,461,8954617
OHIO,Total all ages,213801,6683,33524,189,481,1847,4166,3851,28735,681,257,28812,1002,2086,21,3202,3599,3211,1308,558,32324,41,1622,15060,5973,1886,14608,99,57640,5,537,,
OKLAHOMA,Under 18,9236,449,2272,17,30,118,284,356,1772,102,42,964,3,38,20,287,277,166,0,48,1328,4,32,107,105,293,505,2,1267,0,1069,336,3744169
OKLAHOMA,Total all ages,112401,4653,15856,183,207,649,3614,2056,12965,623,212,8195,673,1621,376,2737,1229,2183,5,408,22107,35,609,12200,1433,13507,1996,34,21466,9,1069,,
OREGON,Under 18,10407,307,2198,3,25,72,207,234,1804,111,49,1093,9,54,1,27,1040,106,0,67,1854,0,6,108,916,0,509,0,1600,0,512,185,3707053
OREGON,Total all ages,131085,3715,19456,66,146,767,2736,1618,16190,1439,209,10241,558,1752,44,558,4012,1660,284,519,13639,0,335,14282,4844,0,6555,4,48115,0,512,,
PENNSYLVANIA,Under 18,40826,2678,5563,22,202,1045,1409,868,4120,450,125,4811,55,653,29,342,1501,789,6,493,3177,2,31,365,2134,170,7352,26,3371,0,7278,1183,11822238
PENNSYLVANIA,Total all ages,350797,18416,50837,377,1003,4820,12216,6158,41938,2340,401,39904,2253,7954,485,2268,6858,4660,1792,2125,53633,105,1581,44111,9179,19475,33487,254,44142,0,7278,,
RHODE ISLAND,Under 18,2489,109,494,0,17,38,54,92,365,20,17,411,2,17,3,71,189,135,0,16,80,0,30,11,48,1,452,0,408,0,12,48,1056426
RHODE ISLAND,Total all ages,27494,896,2881,18,85,143,650,592,2126,127,36,4002,111,586,87,342,1035,465,80,91,1759,18,68,2719,486,10,2239,0,9607,0,12,,
SOUTH CAROLINA,Under 18,12987,682,3308,35,63,258,326,614,2527,145,22,2116,11,74,9,162,456,434,7,63,2080,3,8,90,286,71,1447,0,1649,0,31,434,4794988
SOUTH CAROLINA,Total all ages,158298,6929,24138,293,411,1200,5025,3385,19664,968,121,16445,1130,3452,325,1996,2794,2251,578,319,30020,51,1237,15947,5014,6956,8738,425,29522,0,31,,
SOUTH DAKOTA,Under 18,5016,106,1000,0,3,11,92,103,770,122,5,492,2,44,8,35,135,49,1,13,847,0,388,77,569,14,330,0,786,0,120,107,789651
SOUTH DAKOTA,Total all ages,47214,1291,3554,23,44,57,1167,352,2897,289,16,4447,96,664,38,177,466,255,26,53,7912,0,766,7196,2596,2538,2454,436,12126,3,120,,
TENNESSEE,Under 18,22110,1401,4060,21,42,364,974,815,2766,421,58,4106,45,142,4,117,1036,391,0,116,2501,39,55,143,586,141,1912,0,4080,0,1235,455,6454266
TENNESSEE,Total all ages,339280,16142,37897,301,291,1936,13614,5322,29785,2606,184,29825,1876,5797,707,1038,4563,2741,1161,568,44185,170,4036,22563,4278,14029,7079,25,139365,0,1235,,
TEXAS,Under 18,65539,3938,14953,62,375,1422,2079,2590,11155,1101,107,12047,135,275,153,181,1779,843,53,431,10612,15,95,421,1596,1104,1836,61,12532,0,2479,973,27089093
TEXAS,Total all ages,820979,31989,95012,889,2311,7056,21733,12201,76604,5795,412,94190,4659,6515,918,1057,8120,12375,4506,3005,140314,490,4264,67950,10928,71819,10520,2194,247675,0,2479,,
UTAH,Under 18,13187,268,2740,2,75,51,140,165,2463,82,30,1305,7,30,0,94,694,205,16,214,1786,0,36,196,675,80,807,27,3538,2,467,109,2801231
UTAH,Total all ages,102988,2252,16044,50,258,413,1531,935,14617,421,71,8780,680,886,21,1053,2631,844,191,600,15111,4,1297,8713,3860,2909,2809,40,33791,5,467,,
VERMONT,Under 18,425,13,60,0,4,0,9,13,40,6,1,96,0,2,2,4,37,7,0,10,23,0,8,8,23,1,67,0,64,0,0,46,348314
VERMONT,Total all ages,8062,314,1049,4,28,23,259,154,871,18,6,812,20,122,55,59,197,14,4,29,593,0,118,1474,60,1,509,0,2632,0,0,,
VIRGINIA,Under 18,16838,735,3907,20,69,385,261,504,3162,211,30,2735,36,129,37,177,753,328,3,122,2068,0,55,97,620,112,490,0,3667,0,767,404,8266632
VIRGINIA,Total all ages,271921,7410,30793,351,480,1755,4824,2928,26706,1013,146,32469,1905,5240,1405,917,4021,3562,913,692,39132,20,1780,20084,5223,20125,2965,157,92341,0,767,,
WASHINGTON,Under 18,12184,782,3151,15,79,295,393,442,2432,247,30,2642,10,28,1,210,756,237,9,133,1360,0,9,121,776,3,178,0,1775,0,3,223,6483494
WASHINGTON,Total all ages,171211,7778,30229,107,491,1665,5515,4847,23705,1518,159,24266,881,994,60,3354,4973,1711,553,637,11017,0,280,23209,2487,22,2415,81,56261,0,3,,
WEST VIRGINIA,Under 18,1050,48,152,2,5,6,35,24,110,13,5,249,1,3,1,5,40,24,0,12,110,0,2,11,52,3,27,0,303,0,7,291,1251283
WEST VIRGINIA,Total all ages,39742,1905,5826,41,101,157,1606,771,4777,238,40,4684,332,511,105,283,612,448,73,104,6267,2,139,4427,591,673,608,31,12114,0,7,,
WISCONSIN,Under 18,41813,1111,6135,7,149,434,521,655,4900,532,48,2570,22,116,31,605,1873,598,14,674,3154,8,105,235,2266,0,7876,61,12221,0,2138,409,5643675
WISCONSIN,Total all ages,261400,7556,31446,244,781,1570,4961,2771,27253,1293,129,15905,1047,2659,289,1566,6463,3661,437,1963,28025,44,2255,24795,12675,0,33316,825,84335,0,2138,,
WYOMING,Under 18,3332,22,558,0,2,3,17,46,476,27,9,419,2,7,2,2,154,38,3,13,543,1,10,26,461,12,124,12,764,3,156,53,549770
WYOMING,Total all ages,28213,500,2577,13,33,19,435,232,2188,109,48,2068,49,196,12,42,526,85,56,109,4482,1,360,3056,1929,2219,825,30,8928,7,156,,
